y_p1,y_p2,y_p3,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,disc_cost,avg_cost
2.0,4.0,5.0,10.0,8.0,10.0,7.0,10.0,10.0,8.0,0.0,6.0,10.0,7.0,8.0,10.0,7.0,8.0,8.0,4.0,6.0,7.0,0.0,4.0,0.0,7.0,7.0,9.0,5.0,7.0,9.0,0.0,0,99010.83072872112,609.4824934574635
3.0,1.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,3.0,8.0,10.0,6.0,9.0,7.0,10.0,7.0,0.0,10.0,5.0,10.0,10.0,10.0,10.0,7.0,8.0,10.0,10.0,5.0,0.0,0,99437.42409096252,610.5737401940643
1.0,1.0,3.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,8.0,8.0,10.0,9.0,10.0,7.0,10.0,10.0,10.0,0.0,0.0,8.0,0.0,9.0,9.0,9.0,0.0,8.0,8.0,6.0,8.0,0.0,0,97659.11516915559,605.5378929486074
2.0,4.0,5.0,4.0,10.0,10.0,5.0,10.0,10.0,9.0,1.0,10.0,5.0,10.0,8.0,9.0,4.0,8.0,8.0,10.0,10.0,8.0,10.0,7.0,8.0,0.0,10.0,10.0,8.0,5.0,10.0,0.0,0,99400.54197054231,610.5181941017835
0.0,6.0,7.0,8.0,10.0,10.0,6.0,8.0,6.0,4.0,5.0,6.0,8.0,3.0,6.0,10.0,10.0,4.0,10.0,8.0,8.0,6.0,7.0,4.0,6.0,2.0,10.0,8.0,10.0,0.0,10.0,0.0,0,98132.05487666906,608.0406811167705
0.0,4.0,5.0,10.0,10.0,10.0,10.0,10.0,5.0,10.0,4.0,5.0,10.0,0.0,6.0,4.0,10.0,9.0,10.0,6.0,7.0,10.0,5.0,5.0,7.0,5.0,10.0,5.0,0.0,8.0,9.0,0.0,0,99011.42283357619,611.5353565405076
1.0,3.0,2.0,3.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,6.0,10.0,9.0,7.0,10.0,3.0,10.0,10.0,8.0,7.0,10.0,10.0,10.0,8.0,9.0,5.0,10.0,0.0,5.0,10.0,0.0,0,99489.18102865393,608.2586788662472
1.0,4.0,7.0,10.0,10.0,5.0,10.0,10.0,4.0,9.0,10.0,6.0,5.0,9.0,8.0,5.0,5.0,4.0,8.0,10.0,8.0,8.0,10.0,6.0,9.0,9.0,9.0,0.0,8.0,9.0,10.0,0.0,0,99199.43020877962,610.3703149794578
2.0,7.0,5.0,10.0,10.0,9.0,10.0,10.0,8.0,10.0,8.0,10.0,9.0,10.0,3.0,3.0,10.0,6.0,10.0,4.0,10.0,8.0,4.0,6.0,10.0,7.0,10.0,5.0,10.0,10.0,0.0,0.0,0,99275.81261083542,608.9024730840708
3.0,5.0,3.0,10.0,7.0,10.0,10.0,10.0,9.0,10.0,8.0,1.0,10.0,10.0,10.0,8.0,10.0,9.0,10.0,10.0,10.0,6.0,8.0,7.0,6.0,7.0,8.0,9.0,9.0,10.0,9.0,0.0,0,101101.800674001,614.2346152493116
