y_p1,y_p2,y_p3,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,disc_cost,avg_cost
28.0,4.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.0,6.0,4.0,9.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,57063.620305275304,750.21125
60.0,3.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4.0,9.0,7.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,130380.63856503405,1391.3152500000003
45.0,4.0,2.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,4.0,8.0,7.0,3.0,3.0,7.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,67860.76360143382,807.7507500000002
21.0,2.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,7.0,7.0,6.0,5.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,39314.279572872816,553.175
28.0,3.0,4.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.0,0.0,5.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,59302.60644543423,767.5200000000001
13.0,3.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.0,4.0,4.0,5.0,8.0,8.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44291.58215798044,688.3282500000001
19.0,1.0,3.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,6.0,10.0,9.0,2.0,0.0,4.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,61351.97195634935,747.41625
48.0,1.0,6.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.0,8.0,6.0,10.0,0.0,6.0,0.0,9.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,115640.26246369511,1285.954
59.0,7.0,2.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,142381.1541226511,1484.2400000000002
51.0,4.0,4.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,9.0,9.0,9.0,8.0,8.0,10.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,116372.39376589737,1188.5497500000001
88.0,2.0,6.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,204480.5883670872,2112.61825
